[2021-12-25 11:15:27] CKFinder.WARNING: ErrorException: Method ReflectionParameter::getClass() is deprecated in C:\xampp\htdocs\Ismart\admin\public\js\plugins\ckfinder\core\connector\php\vendor\cksource\ckfinder\src\CKSource\CKFinder\CommandResolver.php:192 Stack trace: #0 C:\xampp\htdocs\Ismart\admin\public\js\plugins\ckfinder\core\connector\php\vendor\cksource\ckfinder\src\CKSource\CKFinder\CommandResolver.php(192): CKSource\CKFinder\ExceptionHandler->errorHandler(8192, 'Method Reflecti...', 'C:\\xampp\\htdocs...', 192) #1 C:\xampp\htdocs\Ismart\admin\public\js\plugins\ckfinder\core\connector\php\vendor\symfony\http-kernel\HttpKernel.php(136): CKSource\CKFinder\CommandResolver->getArguments(Object(Symfony\Component\HttpFoundation\Request), Array) #2 C:\xampp\htdocs\Ismart\admin\public\js\plugins\ckfinder\core\connector\php\vendor\symfony\http-kernel\HttpKernel.php(62): Symfony\Component\HttpKernel\HttpKernel->handleRaw(Object(Symfony\Component\HttpFoundation\Request), 1) #3 C:\xampp\htdocs\Ismart\admin\public\js\plugins\ckfinder\core\connector\php\vendor\cksource\ckfinder\src\CKSource\CKFinder\CKFinder.php(575): Symfony\Component\HttpKernel\HttpKernel->handle(Object(Symfony\Component\HttpFoundation\Request), 1, true) #4 C:\xampp\htdocs\Ismart\admin\public\js\plugins\ckfinder\core\connector\php\vendor\cksource\ckfinder\src\CKSource\CKFinder\CKFinder.php(313): CKSource\CKFinder\CKFinder->handle(Object(Symfony\Component\HttpFoundation\Request)) #5 C:\xampp\htdocs\Ismart\admin\public\js\plugins\ckfinder\core\connector\php\connector.php(20): CKSource\CKFinder\CKFinder->run() #6 {main} [] []
[2021-12-25 11:15:27] CKFinder.WARNING: ErrorException: Method ReflectionParameter::getClass() is deprecated in C:\xampp\htdocs\Ismart\admin\public\js\plugins\ckfinder\core\connector\php\vendor\cksource\ckfinder\src\CKSource\CKFinder\CommandResolver.php:192 Stack trace: #0 C:\xampp\htdocs\Ismart\admin\public\js\plugins\ckfinder\core\connector\php\vendor\cksource\ckfinder\src\CKSource\CKFinder\CommandResolver.php(192): CKSource\CKFinder\ExceptionHandler->errorHandler(8192, 'Method Reflecti...', 'C:\\xampp\\htdocs...', 192) #1 C:\xampp\htdocs\Ismart\admin\public\js\plugins\ckfinder\core\connector\php\vendor\symfony\http-kernel\HttpKernel.php(136): CKSource\CKFinder\CommandResolver->getArguments(Object(Symfony\Component\HttpFoundation\Request), Array) #2 C:\xampp\htdocs\Ismart\admin\public\js\plugins\ckfinder\core\connector\php\vendor\symfony\http-kernel\HttpKernel.php(62): Symfony\Component\HttpKernel\HttpKernel->handleRaw(Object(Symfony\Component\HttpFoundation\Request), 1) #3 C:\xampp\htdocs\Ismart\admin\public\js\plugins\ckfinder\core\connector\php\vendor\cksource\ckfinder\src\CKSource\CKFinder\CKFinder.php(575): Symfony\Component\HttpKernel\HttpKernel->handle(Object(Symfony\Component\HttpFoundation\Request), 1, true) #4 C:\xampp\htdocs\Ismart\admin\public\js\plugins\ckfinder\core\connector\php\vendor\cksource\ckfinder\src\CKSource\CKFinder\CKFinder.php(313): CKSource\CKFinder\CKFinder->handle(Object(Symfony\Component\HttpFoundation\Request)) #5 C:\xampp\htdocs\Ismart\admin\public\js\plugins\ckfinder\core\connector\php\connector.php(20): CKSource\CKFinder\CKFinder->run() #6 {main} [] []
[2021-12-25 11:15:27] CKFinder.WARNING: ErrorException: Method ReflectionParameter::getClass() is deprecated in C:\xampp\htdocs\Ismart\admin\public\js\plugins\ckfinder\core\connector\php\vendor\cksource\ckfinder\src\CKSource\CKFinder\CommandResolver.php:192 Stack trace: #0 C:\xampp\htdocs\Ismart\admin\public\js\plugins\ckfinder\core\connector\php\vendor\cksource\ckfinder\src\CKSource\CKFinder\CommandResolver.php(192): CKSource\CKFinder\ExceptionHandler->errorHandler(8192, 'Method Reflecti...', 'C:\\xampp\\htdocs...', 192) #1 C:\xampp\htdocs\Ismart\admin\public\js\plugins\ckfinder\core\connector\php\vendor\symfony\http-kernel\HttpKernel.php(136): CKSource\CKFinder\CommandResolver->getArguments(Object(Symfony\Component\HttpFoundation\Request), Array) #2 C:\xampp\htdocs\Ismart\admin\public\js\plugins\ckfinder\core\connector\php\vendor\symfony\http-kernel\HttpKernel.php(62): Symfony\Component\HttpKernel\HttpKernel->handleRaw(Object(Symfony\Component\HttpFoundation\Request), 1) #3 C:\xampp\htdocs\Ismart\admin\public\js\plugins\ckfinder\core\connector\php\vendor\cksource\ckfinder\src\CKSource\CKFinder\CKFinder.php(575): Symfony\Component\HttpKernel\HttpKernel->handle(Object(Symfony\Component\HttpFoundation\Request), 1, true) #4 C:\xampp\htdocs\Ismart\admin\public\js\plugins\ckfinder\core\connector\php\vendor\cksource\ckfinder\src\CKSource\CKFinder\CKFinder.php(313): CKSource\CKFinder\CKFinder->handle(Object(Symfony\Component\HttpFoundation\Request)) #5 C:\xampp\htdocs\Ismart\admin\public\js\plugins\ckfinder\core\connector\php\connector.php(20): CKSource\CKFinder\CKFinder->run() #6 {main} [] []
[2021-12-25 11:15:27] CKFinder.WARNING: ErrorException: Method ReflectionParameter::getClass() is deprecated in C:\xampp\htdocs\Ismart\admin\public\js\plugins\ckfinder\core\connector\php\vendor\cksource\ckfinder\src\CKSource\CKFinder\CommandResolver.php:192 Stack trace: #0 C:\xampp\htdocs\Ismart\admin\public\js\plugins\ckfinder\core\connector\php\vendor\cksource\ckfinder\src\CKSource\CKFinder\CommandResolver.php(192): CKSource\CKFinder\ExceptionHandler->errorHandler(8192, 'Method Reflecti...', 'C:\\xampp\\htdocs...', 192) #1 C:\xampp\htdocs\Ismart\admin\public\js\plugins\ckfinder\core\connector\php\vendor\symfony\http-kernel\HttpKernel.php(136): CKSource\CKFinder\CommandResolver->getArguments(Object(Symfony\Component\HttpFoundation\Request), Array) #2 C:\xampp\htdocs\Ismart\admin\public\js\plugins\ckfinder\core\connector\php\vendor\symfony\http-kernel\HttpKernel.php(62): Symfony\Component\HttpKernel\HttpKernel->handleRaw(Object(Symfony\Component\HttpFoundation\Request), 1) #3 C:\xampp\htdocs\Ismart\admin\public\js\plugins\ckfinder\core\connector\php\vendor\cksource\ckfinder\src\CKSource\CKFinder\CKFinder.php(575): Symfony\Component\HttpKernel\HttpKernel->handle(Object(Symfony\Component\HttpFoundation\Request), 1, true) #4 C:\xampp\htdocs\Ismart\admin\public\js\plugins\ckfinder\core\connector\php\vendor\cksource\ckfinder\src\CKSource\CKFinder\CKFinder.php(313): CKSource\CKFinder\CKFinder->handle(Object(Symfony\Component\HttpFoundation\Request)) #5 C:\xampp\htdocs\Ismart\admin\public\js\plugins\ckfinder\core\connector\php\connector.php(20): CKSource\CKFinder\CKFinder->run() #6 {main} [] []
[2021-12-25 11:15:28] CKFinder.WARNING: ErrorException: Method ReflectionParameter::getClass() is deprecated in C:\xampp\htdocs\Ismart\admin\public\js\plugins\ckfinder\core\connector\php\vendor\cksource\ckfinder\src\CKSource\CKFinder\CommandResolver.php:192 Stack trace: #0 C:\xampp\htdocs\Ismart\admin\public\js\plugins\ckfinder\core\connector\php\vendor\cksource\ckfinder\src\CKSource\CKFinder\CommandResolver.php(192): CKSource\CKFinder\ExceptionHandler->errorHandler(8192, 'Method Reflecti...', 'C:\\xampp\\htdocs...', 192) #1 C:\xampp\htdocs\Ismart\admin\public\js\plugins\ckfinder\core\connector\php\vendor\symfony\http-kernel\HttpKernel.php(136): CKSource\CKFinder\CommandResolver->getArguments(Object(Symfony\Component\HttpFoundation\Request), Array) #2 C:\xampp\htdocs\Ismart\admin\public\js\plugins\ckfinder\core\connector\php\vendor\symfony\http-kernel\HttpKernel.php(62): Symfony\Component\HttpKernel\HttpKernel->handleRaw(Object(Symfony\Component\HttpFoundation\Request), 1) #3 C:\xampp\htdocs\Ismart\admin\public\js\plugins\ckfinder\core\connector\php\vendor\cksource\ckfinder\src\CKSource\CKFinder\CKFinder.php(575): Symfony\Component\HttpKernel\HttpKernel->handle(Object(Symfony\Component\HttpFoundation\Request), 1, true) #4 C:\xampp\htdocs\Ismart\admin\public\js\plugins\ckfinder\core\connector\php\vendor\cksource\ckfinder\src\CKSource\CKFinder\CKFinder.php(313): CKSource\CKFinder\CKFinder->handle(Object(Symfony\Component\HttpFoundation\Request)) #5 C:\xampp\htdocs\Ismart\admin\public\js\plugins\ckfinder\core\connector\php\connector.php(20): CKSource\CKFinder\CKFinder->run() #6 {main} [] []
[2021-12-25 11:15:28] CKFinder.WARNING: ErrorException: Method ReflectionParameter::getClass() is deprecated in C:\xampp\htdocs\Ismart\admin\public\js\plugins\ckfinder\core\connector\php\vendor\cksource\ckfinder\src\CKSource\CKFinder\CommandResolver.php:192 Stack trace: #0 C:\xampp\htdocs\Ismart\admin\public\js\plugins\ckfinder\core\connector\php\vendor\cksource\ckfinder\src\CKSource\CKFinder\CommandResolver.php(192): CKSource\CKFinder\ExceptionHandler->errorHandler(8192, 'Method Reflecti...', 'C:\\xampp\\htdocs...', 192) #1 C:\xampp\htdocs\Ismart\admin\public\js\plugins\ckfinder\core\connector\php\vendor\symfony\http-kernel\HttpKernel.php(136): CKSource\CKFinder\CommandResolver->getArguments(Object(Symfony\Component\HttpFoundation\Request), Array) #2 C:\xampp\htdocs\Ismart\admin\public\js\plugins\ckfinder\core\connector\php\vendor\symfony\http-kernel\HttpKernel.php(62): Symfony\Component\HttpKernel\HttpKernel->handleRaw(Object(Symfony\Component\HttpFoundation\Request), 1) #3 C:\xampp\htdocs\Ismart\admin\public\js\plugins\ckfinder\core\connector\php\vendor\cksource\ckfinder\src\CKSource\CKFinder\CKFinder.php(575): Symfony\Component\HttpKernel\HttpKernel->handle(Object(Symfony\Component\HttpFoundation\Request), 1, true) #4 C:\xampp\htdocs\Ismart\admin\public\js\plugins\ckfinder\core\connector\php\vendor\cksource\ckfinder\src\CKSource\CKFinder\CKFinder.php(313): CKSource\CKFinder\CKFinder->handle(Object(Symfony\Component\HttpFoundation\Request)) #5 C:\xampp\htdocs\Ismart\admin\public\js\plugins\ckfinder\core\connector\php\connector.php(20): CKSource\CKFinder\CKFinder->run() #6 {main} [] []
[2021-12-25 11:15:32] CKFinder.WARNING: ErrorException: Method ReflectionParameter::getClass() is deprecated in C:\xampp\htdocs\Ismart\admin\public\js\plugins\ckfinder\core\connector\php\vendor\cksource\ckfinder\src\CKSource\CKFinder\CommandResolver.php:192 Stack trace: #0 C:\xampp\htdocs\Ismart\admin\public\js\plugins\ckfinder\core\connector\php\vendor\cksource\ckfinder\src\CKSource\CKFinder\CommandResolver.php(192): CKSource\CKFinder\ExceptionHandler->errorHandler(8192, 'Method Reflecti...', 'C:\\xampp\\htdocs...', 192) #1 C:\xampp\htdocs\Ismart\admin\public\js\plugins\ckfinder\core\connector\php\vendor\symfony\http-kernel\HttpKernel.php(136): CKSource\CKFinder\CommandResolver->getArguments(Object(Symfony\Component\HttpFoundation\Request), Array) #2 C:\xampp\htdocs\Ismart\admin\public\js\plugins\ckfinder\core\connector\php\vendor\symfony\http-kernel\HttpKernel.php(62): Symfony\Component\HttpKernel\HttpKernel->handleRaw(Object(Symfony\Component\HttpFoundation\Request), 1) #3 C:\xampp\htdocs\Ismart\admin\public\js\plugins\ckfinder\core\connector\php\vendor\cksource\ckfinder\src\CKSource\CKFinder\CKFinder.php(575): Symfony\Component\HttpKernel\HttpKernel->handle(Object(Symfony\Component\HttpFoundation\Request), 1, true) #4 C:\xampp\htdocs\Ismart\admin\public\js\plugins\ckfinder\core\connector\php\vendor\cksource\ckfinder\src\CKSource\CKFinder\CKFinder.php(313): CKSource\CKFinder\CKFinder->handle(Object(Symfony\Component\HttpFoundation\Request)) #5 C:\xampp\htdocs\Ismart\admin\public\js\plugins\ckfinder\core\connector\php\connector.php(20): CKSource\CKFinder\CKFinder->run() #6 {main} [] []
[2021-12-25 11:15:32] CKFinder.WARNING: ErrorException: Method ReflectionParameter::getClass() is deprecated in C:\xampp\htdocs\Ismart\admin\public\js\plugins\ckfinder\core\connector\php\vendor\cksource\ckfinder\src\CKSource\CKFinder\CommandResolver.php:192 Stack trace: #0 C:\xampp\htdocs\Ismart\admin\public\js\plugins\ckfinder\core\connector\php\vendor\cksource\ckfinder\src\CKSource\CKFinder\CommandResolver.php(192): CKSource\CKFinder\ExceptionHandler->errorHandler(8192, 'Method Reflecti...', 'C:\\xampp\\htdocs...', 192) #1 C:\xampp\htdocs\Ismart\admin\public\js\plugins\ckfinder\core\connector\php\vendor\symfony\http-kernel\HttpKernel.php(136): CKSource\CKFinder\CommandResolver->getArguments(Object(Symfony\Component\HttpFoundation\Request), Array) #2 C:\xampp\htdocs\Ismart\admin\public\js\plugins\ckfinder\core\connector\php\vendor\symfony\http-kernel\HttpKernel.php(62): Symfony\Component\HttpKernel\HttpKernel->handleRaw(Object(Symfony\Component\HttpFoundation\Request), 1) #3 C:\xampp\htdocs\Ismart\admin\public\js\plugins\ckfinder\core\connector\php\vendor\cksource\ckfinder\src\CKSource\CKFinder\CKFinder.php(575): Symfony\Component\HttpKernel\HttpKernel->handle(Object(Symfony\Component\HttpFoundation\Request), 1, true) #4 C:\xampp\htdocs\Ismart\admin\public\js\plugins\ckfinder\core\connector\php\vendor\cksource\ckfinder\src\CKSource\CKFinder\CKFinder.php(313): CKSource\CKFinder\CKFinder->handle(Object(Symfony\Component\HttpFoundation\Request)) #5 C:\xampp\htdocs\Ismart\admin\public\js\plugins\ckfinder\core\connector\php\connector.php(20): CKSource\CKFinder\CKFinder->run() #6 {main} [] []
[2021-12-25 11:15:32] CKFinder.WARNING: ErrorException: Method ReflectionParameter::getClass() is deprecated in C:\xampp\htdocs\Ismart\admin\public\js\plugins\ckfinder\core\connector\php\vendor\cksource\ckfinder\src\CKSource\CKFinder\CommandResolver.php:192 Stack trace: #0 C:\xampp\htdocs\Ismart\admin\public\js\plugins\ckfinder\core\connector\php\vendor\cksource\ckfinder\src\CKSource\CKFinder\CommandResolver.php(192): CKSource\CKFinder\ExceptionHandler->errorHandler(8192, 'Method Reflecti...', 'C:\\xampp\\htdocs...', 192) #1 C:\xampp\htdocs\Ismart\admin\public\js\plugins\ckfinder\core\connector\php\vendor\symfony\http-kernel\HttpKernel.php(136): CKSource\CKFinder\CommandResolver->getArguments(Object(Symfony\Component\HttpFoundation\Request), Array) #2 C:\xampp\htdocs\Ismart\admin\public\js\plugins\ckfinder\core\connector\php\vendor\symfony\http-kernel\HttpKernel.php(62): Symfony\Component\HttpKernel\HttpKernel->handleRaw(Object(Symfony\Component\HttpFoundation\Request), 1) #3 C:\xampp\htdocs\Ismart\admin\public\js\plugins\ckfinder\core\connector\php\vendor\cksource\ckfinder\src\CKSource\CKFinder\CKFinder.php(575): Symfony\Component\HttpKernel\HttpKernel->handle(Object(Symfony\Component\HttpFoundation\Request), 1, true) #4 C:\xampp\htdocs\Ismart\admin\public\js\plugins\ckfinder\core\connector\php\vendor\cksource\ckfinder\src\CKSource\CKFinder\CKFinder.php(313): CKSource\CKFinder\CKFinder->handle(Object(Symfony\Component\HttpFoundation\Request)) #5 C:\xampp\htdocs\Ismart\admin\public\js\plugins\ckfinder\core\connector\php\connector.php(20): CKSource\CKFinder\CKFinder->run() #6 {main} [] []
[2021-12-25 11:15:32] CKFinder.WARNING: ErrorException: Method ReflectionParameter::getClass() is deprecated in C:\xampp\htdocs\Ismart\admin\public\js\plugins\ckfinder\core\connector\php\vendor\cksource\ckfinder\src\CKSource\CKFinder\CommandResolver.php:192 Stack trace: #0 C:\xampp\htdocs\Ismart\admin\public\js\plugins\ckfinder\core\connector\php\vendor\cksource\ckfinder\src\CKSource\CKFinder\CommandResolver.php(192): CKSource\CKFinder\ExceptionHandler->errorHandler(8192, 'Method Reflecti...', 'C:\\xampp\\htdocs...', 192) #1 C:\xampp\htdocs\Ismart\admin\public\js\plugins\ckfinder\core\connector\php\vendor\symfony\http-kernel\HttpKernel.php(136): CKSource\CKFinder\CommandResolver->getArguments(Object(Symfony\Component\HttpFoundation\Request), Array) #2 C:\xampp\htdocs\Ismart\admin\public\js\plugins\ckfinder\core\connector\php\vendor\symfony\http-kernel\HttpKernel.php(62): Symfony\Component\HttpKernel\HttpKernel->handleRaw(Object(Symfony\Component\HttpFoundation\Request), 1) #3 C:\xampp\htdocs\Ismart\admin\public\js\plugins\ckfinder\core\connector\php\vendor\cksource\ckfinder\src\CKSource\CKFinder\CKFinder.php(575): Symfony\Component\HttpKernel\HttpKernel->handle(Object(Symfony\Component\HttpFoundation\Request), 1, true) #4 C:\xampp\htdocs\Ismart\admin\public\js\plugins\ckfinder\core\connector\php\vendor\cksource\ckfinder\src\CKSource\CKFinder\CKFinder.php(313): CKSource\CKFinder\CKFinder->handle(Object(Symfony\Component\HttpFoundation\Request)) #5 C:\xampp\htdocs\Ismart\admin\public\js\plugins\ckfinder\core\connector\php\connector.php(20): CKSource\CKFinder\CKFinder->run() #6 {main} [] []
[2021-12-25 11:15:32] CKFinder.WARNING: ErrorException: Method ReflectionParameter::getClass() is deprecated in C:\xampp\htdocs\Ismart\admin\public\js\plugins\ckfinder\core\connector\php\vendor\cksource\ckfinder\src\CKSource\CKFinder\CommandResolver.php:192 Stack trace: #0 C:\xampp\htdocs\Ismart\admin\public\js\plugins\ckfinder\core\connector\php\vendor\cksource\ckfinder\src\CKSource\CKFinder\CommandResolver.php(192): CKSource\CKFinder\ExceptionHandler->errorHandler(8192, 'Method Reflecti...', 'C:\\xampp\\htdocs...', 192) #1 C:\xampp\htdocs\Ismart\admin\public\js\plugins\ckfinder\core\connector\php\vendor\symfony\http-kernel\HttpKernel.php(136): CKSource\CKFinder\CommandResolver->getArguments(Object(Symfony\Component\HttpFoundation\Request), Array) #2 C:\xampp\htdocs\Ismart\admin\public\js\plugins\ckfinder\core\connector\php\vendor\symfony\http-kernel\HttpKernel.php(62): Symfony\Component\HttpKernel\HttpKernel->handleRaw(Object(Symfony\Component\HttpFoundation\Request), 1) #3 C:\xampp\htdocs\Ismart\admin\public\js\plugins\ckfinder\core\connector\php\vendor\cksource\ckfinder\src\CKSource\CKFinder\CKFinder.php(575): Symfony\Component\HttpKernel\HttpKernel->handle(Object(Symfony\Component\HttpFoundation\Request), 1, true) #4 C:\xampp\htdocs\Ismart\admin\public\js\plugins\ckfinder\core\connector\php\vendor\cksource\ckfinder\src\CKSource\CKFinder\CKFinder.php(313): CKSource\CKFinder\CKFinder->handle(Object(Symfony\Component\HttpFoundation\Request)) #5 C:\xampp\htdocs\Ismart\admin\public\js\plugins\ckfinder\core\connector\php\connector.php(20): CKSource\CKFinder\CKFinder->run() #6 {main} [] []
[2021-12-25 11:15:32] CKFinder.WARNING: ErrorException: Method ReflectionParameter::getClass() is deprecated in C:\xampp\htdocs\Ismart\admin\public\js\plugins\ckfinder\core\connector\php\vendor\cksource\ckfinder\src\CKSource\CKFinder\CommandResolver.php:192 Stack trace: #0 C:\xampp\htdocs\Ismart\admin\public\js\plugins\ckfinder\core\connector\php\vendor\cksource\ckfinder\src\CKSource\CKFinder\CommandResolver.php(192): CKSource\CKFinder\ExceptionHandler->errorHandler(8192, 'Method Reflecti...', 'C:\\xampp\\htdocs...', 192) #1 C:\xampp\htdocs\Ismart\admin\public\js\plugins\ckfinder\core\connector\php\vendor\symfony\http-kernel\HttpKernel.php(136): CKSource\CKFinder\CommandResolver->getArguments(Object(Symfony\Component\HttpFoundation\Request), Array) #2 C:\xampp\htdocs\Ismart\admin\public\js\plugins\ckfinder\core\connector\php\vendor\symfony\http-kernel\HttpKernel.php(62): Symfony\Component\HttpKernel\HttpKernel->handleRaw(Object(Symfony\Component\HttpFoundation\Request), 1) #3 C:\xampp\htdocs\Ismart\admin\public\js\plugins\ckfinder\core\connector\php\vendor\cksource\ckfinder\src\CKSource\CKFinder\CKFinder.php(575): Symfony\Component\HttpKernel\HttpKernel->handle(Object(Symfony\Component\HttpFoundation\Request), 1, true) #4 C:\xampp\htdocs\Ismart\admin\public\js\plugins\ckfinder\core\connector\php\vendor\cksource\ckfinder\src\CKSource\CKFinder\CKFinder.php(313): CKSource\CKFinder\CKFinder->handle(Object(Symfony\Component\HttpFoundation\Request)) #5 C:\xampp\htdocs\Ismart\admin\public\js\plugins\ckfinder\core\connector\php\connector.php(20): CKSource\CKFinder\CKFinder->run() #6 {main} [] []
[2021-12-25 11:15:32] CKFinder.ERROR: CKSource\CKFinder\Exception\CKFinderException: Unsupported image type (not resource): image/jpeg in C:\xampp\htdocs\Ismart\admin\public\js\plugins\ckfinder\core\connector\php\vendor\cksource\ckfinder\src\CKSource\CKFinder\Image.php:206 Stack trace: #0 C:\xampp\htdocs\Ismart\admin\public\js\plugins\ckfinder\core\connector\php\vendor\cksource\ckfinder\src\CKSource\CKFinder\Image.php(89): CKSource\CKFinder\Image->__construct('\xFF\xD8\xFF\xE0\x00\x10JFIF\x00\x01\x01\x01\x00...', false) #1 C:\xampp\htdocs\Ismart\admin\public\js\plugins\ckfinder\core\connector\php\vendor\cksource\ckfinder\src\CKSource\CKFinder\Command\FileUpload.php(111): CKSource\CKFinder\Image::create('\xFF\xD8\xFF\xE0\x00\x10JFIF\x00\x01\x01\x01\x00...') #2 [internal function]: CKSource\CKFinder\Command\FileUpload->execute(Object(Symfony\Component\HttpFoundation\Request), Object(CKSource\CKFinder\Filesystem\Folder\WorkingFolder), Object(Symfony\Component\EventDispatcher\EventDispatcher), Object(CKSource\CKFinder\Config), Object(CKSource\CKFinder\Cache\CacheManager), Object(CKSource\CKFinder\Thumbnail\ThumbnailRepository)) #3 C:\xampp\htdocs\Ismart\admin\public\js\plugins\ckfinder\core\connector\php\vendor\symfony\http-kernel\HttpKernel.php(139): call_user_func_array(Array, Array) #4 C:\xampp\htdocs\Ismart\admin\public\js\plugins\ckfinder\core\connector\php\vendor\symfony\http-kernel\HttpKernel.php(62): Symfony\Component\HttpKernel\HttpKernel->handleRaw(Object(Symfony\Component\HttpFoundation\Request), 1) #5 C:\xampp\htdocs\Ismart\admin\public\js\plugins\ckfinder\core\connector\php\vendor\cksource\ckfinder\src\CKSource\CKFinder\CKFinder.php(575): Symfony\Component\HttpKernel\HttpKernel->handle(Object(Symfony\Component\HttpFoundation\Request), 1, true) #6 C:\xampp\htdocs\Ismart\admin\public\js\plugins\ckfinder\core\connector\php\vendor\cksource\ckfinder\src\CKSource\CKFinder\CKFinder.php(313): CKSource\CKFinder\CKFinder->handle(Object(Symfony\Component\HttpFoundation\Request)) #7 C:\xampp\htdocs\Ismart\admin\public\js\plugins\ckfinder\core\connector\php\connector.php(20): CKSource\CKFinder\CKFinder->run() #8 {main} [] []
[2021-12-25 11:15:32] CKFinder.WARNING: ErrorException: Method ReflectionParameter::getClass() is deprecated in C:\xampp\htdocs\Ismart\admin\public\js\plugins\ckfinder\core\connector\php\vendor\cksource\ckfinder\src\CKSource\CKFinder\CommandResolver.php:192 Stack trace: #0 C:\xampp\htdocs\Ismart\admin\public\js\plugins\ckfinder\core\connector\php\vendor\cksource\ckfinder\src\CKSource\CKFinder\CommandResolver.php(192): CKSource\CKFinder\ExceptionHandler->errorHandler(8192, 'Method Reflecti...', 'C:\\xampp\\htdocs...', 192) #1 C:\xampp\htdocs\Ismart\admin\public\js\plugins\ckfinder\core\connector\php\vendor\symfony\http-kernel\HttpKernel.php(136): CKSource\CKFinder\CommandResolver->getArguments(Object(Symfony\Component\HttpFoundation\Request), Array) #2 C:\xampp\htdocs\Ismart\admin\public\js\plugins\ckfinder\core\connector\php\vendor\symfony\http-kernel\HttpKernel.php(62): Symfony\Component\HttpKernel\HttpKernel->handleRaw(Object(Symfony\Component\HttpFoundation\Request), 1) #3 C:\xampp\htdocs\Ismart\admin\public\js\plugins\ckfinder\core\connector\php\vendor\cksource\ckfinder\src\CKSource\CKFinder\CKFinder.php(575): Symfony\Component\HttpKernel\HttpKernel->handle(Object(Symfony\Component\HttpFoundation\Request), 1, true) #4 C:\xampp\htdocs\Ismart\admin\public\js\plugins\ckfinder\core\connector\php\vendor\cksource\ckfinder\src\CKSource\CKFinder\CKFinder.php(313): CKSource\CKFinder\CKFinder->handle(Object(Symfony\Component\HttpFoundation\Request)) #5 C:\xampp\htdocs\Ismart\admin\public\js\plugins\ckfinder\core\connector\php\connector.php(20): CKSource\CKFinder\CKFinder->run() #6 {main} [] []
[2021-12-25 11:34:52] CKFinder.WARNING: ErrorException: Method ReflectionParameter::getClass() is deprecated in C:\xampp\htdocs\Ismart\admin\public\js\plugins\ckfinder\core\connector\php\vendor\cksource\ckfinder\src\CKSource\CKFinder\CommandResolver.php:192 Stack trace: #0 C:\xampp\htdocs\Ismart\admin\public\js\plugins\ckfinder\core\connector\php\vendor\cksource\ckfinder\src\CKSource\CKFinder\CommandResolver.php(192): CKSource\CKFinder\ExceptionHandler->errorHandler(8192, 'Method Reflecti...', 'C:\\xampp\\htdocs...', 192) #1 C:\xampp\htdocs\Ismart\admin\public\js\plugins\ckfinder\core\connector\php\vendor\symfony\http-kernel\HttpKernel.php(136): CKSource\CKFinder\CommandResolver->getArguments(Object(Symfony\Component\HttpFoundation\Request), Array) #2 C:\xampp\htdocs\Ismart\admin\public\js\plugins\ckfinder\core\connector\php\vendor\symfony\http-kernel\HttpKernel.php(62): Symfony\Component\HttpKernel\HttpKernel->handleRaw(Object(Symfony\Component\HttpFoundation\Request), 1) #3 C:\xampp\htdocs\Ismart\admin\public\js\plugins\ckfinder\core\connector\php\vendor\cksource\ckfinder\src\CKSource\CKFinder\CKFinder.php(575): Symfony\Component\HttpKernel\HttpKernel->handle(Object(Symfony\Component\HttpFoundation\Request), 1, true) #4 C:\xampp\htdocs\Ismart\admin\public\js\plugins\ckfinder\core\connector\php\vendor\cksource\ckfinder\src\CKSource\CKFinder\CKFinder.php(313): CKSource\CKFinder\CKFinder->handle(Object(Symfony\Component\HttpFoundation\Request)) #5 C:\xampp\htdocs\Ismart\admin\public\js\plugins\ckfinder\core\connector\php\connector.php(20): CKSource\CKFinder\CKFinder->run() #6 {main} [] []
